Index,Predicted Forces
0,0.0010853761431173458 -0.0035451848924871283 0.016197185878713216; -0.0014239706274201467 0.004740209380433587 0.0155010655579545; 0.005441373469334989 -0.006119798623992451 0.0041475459387944336; -0.005653772562569781 0.002911112621543961 0.01266630317130978; 0.00033146403137656195 0.0024121965966419313 0.015597329271156958; -0.00022256591002828226 -0.006424676005780256 0.02263543874922398; 0.005103073212234386 0.00579293668652456 0.010694471720189783; -0.006075896865713546 -0.003418156021959937 0.012213427536114017; -0.00033770750912582513 0.007707442528787761 0.00982411083712802; 0.002267004743666174 0.0012354988907123505 0.012837248368399678; -0.002369433683191348 0.00084064163897642 0.01784619784075777; 0.001405729887020306 -0.0055086413361150844 0.02474755380265524; 0.0012388958099049101 -0.005049124621008505 0.013270112023306573; 0.0029066486297534334 0.0005428842062598502 0.017218028051197185; -0.0028640161358991717 -0.0005073048502104263 0.019644674892067025; -0.000560773399253449 0.0058688909257013444 0.026309367938442844; 0.10778868881961831 0.020457223957954518 -0.3436716273914656; -0.035646625478780856 0.004427227309950603 -0.06310387435559543; 0.05082195847307169 0.006568909054110235 -0.08900931192611328; -0.17013933779292872 -0.005675714588973525 -0.1714134234458339; 0.008535236110319122 0.08186370732065042 -0.0936809761714452; -0.030778711395307495 -0.00807040787130248 -0.024052438820978; 0.015214492407514716 0.020155045182031223 -0.051468003702905205; -0.028116899449539698 0.01447808119602868 -0.03838447241537163; -0.009354439721989693 0.0012503304744231787 -0.056424660632447804; 0.02129933659152551 -0.007261634533007363 -0.05424798747407459; 0.002228946272270358 0.00018846136496756052 -0.03062202783531668; 0.0016667118182502987 0.0012517928306871838 -0.03924245147648285; 0.0070650961111721165 -0.09584373072855007 -0.10648038099688625; -0.03431497004031718 0.005229356634529232 -0.03679071587431466; 0.020007646288726293 -0.02308362838789169 -0.05738065564214771; -0.025009852228625805 -0.014214005445100587 -0.03076174544061413; -0.17279467145261235 -0.2404829501514354 0.17726028659621176; -0.07559058015272173 0.16209197024718708 -0.039057014530344644; 0.11450557794466165 -0.11378743940124662 -0.03259294886841335; -0.02929935686273983 -0.06083750494864076 -0.028077440061958496; 0.019453183431119042 0.0684948857552744 0.23035915497440543; -0.027213326459697186 -0.09315582563986043 -0.008823079103221398; 0.016871282597314255 0.0906377743396422 0.05449336559759755; -0.04603968771641223 0.057109013348762776 -0.019865330197966328; -0.013101906249939205 0.009250872314538364 0.011705029609671841; 0.010997202745975064 0.02656297516580147 0.03893125446643071; 0.00852319315331532 0.0006615686761626172 0.014655339992439939; 0.00922923472135494 -0.019453228074351944 0.033027277398437145; -0.036727843550532095 -0.02055699414679852 0.0037781085635078112; 0.01593862127644999 -0.07860078191350985 0.01869379436858318; 0.005719803100647796 0.011454604152206433 0.03564903087547558; 0.02007419541311301 0.027168610975555212 0.03109633969956984; 0.9284345726970266 0.5629971575307987 -0.63355972513697; -0.4257206404128624 -0.32648516863984556 1.123547391555974; 0.23464314064249836 0.13982758411675977 0.35992064126935597; -0.17897357205019201 0.12665616281239891 -0.13838976824707228; -0.13206811425282605 -0.5073893386220683 -0.0021122888157106973; -0.14839901458112573 0.17463611120813433 -0.19525472798142113
1,0.006447704576447444 -7.607015482679991e-05 0.028163582837786947; 0.003946924858954933 0.009498642154124978 0.03485822659704191; -0.0031959180709242333 0.00010389387146018569 0.031285560352579414; -0.010567915505116468 0.006912060326669383 0.03153318439665173; 0.006399199560636789 0.0001932649820280146 0.028274166831937106; 0.00427523284343744 -0.00916725711946941 0.03476103533029934; -0.0030306489877111502 0.0005458703252025631 0.030697508423785675; -0.010854889642307552 -0.0068549575425580316 0.03191976829194562; 0.0027765154210587484 -0.00016097489859965249 0.020884645230581148; 0.0018692149308342251 -0.009033545191045171 0.027482725135741307; -0.002977796333291709 -0.005181631385656671 0.028503441485859007; -0.00047610791484270287 -0.004165722858893743 0.024549497802857728; 0.0024899625478937604 -6.868498878462382e-05 0.020427449914565084; 0.001888934146258474 0.008804521485156156 0.02702311824941395; -0.002714476333980001 0.0041985431194251676 0.026525146847756267; -0.0006245815040292965 0.004157493620692475 0.024594717907099422; 0.03029069459500364 -0.0002562862875657311 0.009273158032430139; -0.09410273788773924 -0.0016199421094913184 -0.08437199164525745; 0.04182287176297677 0.0024994001862725795 -0.08131858118056955; -0.05631103831287843 0.0003002932819717377 -0.05451911237923379; 0.007840469872622723 -0.0017611037013456378 -0.030395150637339878; -0.02525740401290508 0.0035229012169336743 -0.041301788862078935; 0.014743680297291794 0.008816813628769592 -0.03599787929280389; -0.03500018236436518 0.00962412387296176 -0.04005829760415884; -0.005532750703256338 -0.0003694181560616322 -0.042328688626082744; 0.019142242196567946 -0.0009126661408934492 -0.03170409524460496; -0.010101631674526403 -0.0006582502979409072 -0.010614610355621442; 0.010343401932164 -0.0003992307815768627 -0.032327459140059786; 0.00862368099268165 0.0026825489249614302 -0.029690176194505914; -0.026065706416488865 -0.0012735684555569664 -0.0384425446618851; 0.01611596159440948 -0.010344370896210299 -0.0377763118471828; -0.03436751320153914 -0.009155325456743288 -0.03965115640537669; 0.057558053885425446 0.031502266079490485 0.09912111272294648; 0.07926821700798803 0.1365262464808572 -0.06565057286405765; -0.19138148174823422 0.0893351682727305 0.31077319258017577; -0.003136485436123158 -0.006876079059042273 0.02032780065642487; 0.058404032075359005 -0.03222224951295874 0.09879057409612409; 0.10169067533877896 -0.13615216918347117 -0.0428072133279388; -0.2178506735320224 -0.12375506009396127 0.3621733520076468; -0.00767709356755876 0.0077073367978209815 0.02955633165704928; 0.011922159809479646 -0.010887292300851318 0.021963609279217894; 0.010811826386842008 0.022871723228403064 0.05696045285614085; -0.0002367760858094526 0.0033920215028103023 0.03372772402901885; -0.01175308691988366 -0.024640889883342596 0.04320527707426357; 0.0100075928700149 0.010619169740786622 0.021649619801342807; 0.014144674265754782 -0.018691095021782827 0.05689864269798778; -0.003173383965434676 0.005565291347042853 0.04018015590534496; -0.013211340061153102 0.021693236587215434 0.043236264532442746; 2.046881633119117 0.19924872477693922 1.3111119051535092; 2.353305605073035 0.11431605550331014 0.5534463426281863; -1.2623246152153973 0.41649176367678475 -0.11772037905640188; -0.14680987945815313 -0.006564871177222164 0.13023662855116264; -1.5515718404647685 -0.11245530619333677 -2.6884418810880626; -1.1927032066405938 -0.5874253561416323 -0.14899802948409402
2,0.002766656642014801 -0.0006542389765997298 0.028800320556538424; -0.0007302914051589733 0.006197221911821347 0.040401770645623426; -0.00385582677861489 -0.0029156616829893417 0.020955265720805725; -0.0016425262729096468 0.0037629558048623717 0.016176755593114985; 0.0023030598583426605 0.0009450856616250863 0.02729329416498525; -0.0006913523430713823 -0.007776699463758893 0.028082990325631628; -0.002901220604851473 0.002143467533387397 0.016966307706080624; -0.0024771585994824005 -0.0035075926577379 0.016997410982701345; 0.0017484476281581613 0.0008106566822059675 0.019875417177744187; 6.81146081524015e-05 -0.002631638835080726 0.018991733415807; -0.0003970148782969076 0.002573364408554893 0.01713529314482685; -0.00020405318964508638 -0.0036254889303771747 0.024444118566421976; 0.0010887377745539488 -0.001740554137750865 0.018536362160800207; 0.00022620617274937585 0.004666281052304979 0.022922738556448934; -9.674809045212842e-05 -0.0032786779341214705 0.01588656871619618; -0.0002884157849131853 0.003547993900021514 0.024303387623747102; 0.024754645146844053 -0.017191034549866303 -0.0026557096187703987; -0.08851168756518621 -0.0027063170266089314 -0.09708797295965658; 0.03005926801206079 -0.007348354349776563 -0.06406824125000697; -0.036551113191640866 -0.0027020291028574672 -0.05181223352405273; 0.03078105331182464 -0.02951688474587108 0.014396002952924106; -0.05194282959526703 -0.013480695059040922 -0.013719747041320712; 0.021005309915551548 0.014959582418740958 -0.04224525192691027; -0.027260150144851975 0.013296167247089541 -0.04612284042858601; -0.008974591546642846 0.007524098275954107 -0.03591288200631218; 0.013355166623830794 0.010788846672431879 -0.03811504031041724; -0.0007406589974213729 0.000993130639573115 -0.029338598962040267; 0.011864727875990872 0.0010746187625382264 -0.031022036211507023; 0.054369724580760115 0.04616625684439874 0.03596525305620191; -0.06576359974210905 0.017363788311750172 0.0007536287425527616; 0.01244664429163865 -0.008384798610630243 -0.03133267967600864; -0.01747721681260796 -0.009737867097369849 -0.03505265468775627; 0.026641600347351885 0.005875899642762062 0.07791938146116022; -0.021612895463999807 -0.19220358857742248 -0.19782918221762943; 0.08341393684346954 -0.08807632541465428 0.09334145082126455; -0.008823587665346194 -0.019750391500264707 0.014020484597090103; 0.03248595470892713 -0.016300150179102746 0.09430594640994679; -0.10637007311388996 0.14127935402856703 -0.14993496604272602; 0.11813370738232926 0.14434352632690226 0.060079338307100404; 0.0023154831012520655 0.011815201451959401 0.008788096112975645; 0.01557819455615944 -0.006300700741964462 0.03257680166426704; -0.0066523941089309925 0.01880333129571143 0.04523570795255501; -0.005419992928860186 -0.001057016619164605 0.02801275545949746; 0.005701865411041107 -0.019769111225017212 0.03243154669463685; 0.008812769013006191 0.0006029977284655937 0.01919915560484023; -0.008110699186626125 -0.0025291470419389287 0.03993916159835732; -0.001978351924868925 0.004530948806713468 0.02182808535810673; 0.007166442865074849 0.026372511889308586 0.042987677565840814; -1.6690802112891103 -0.8132631709279062 3.326911430464585; 1.1520484177778147 0.4038748670175026 -3.2417518242947034; -0.31127447032175626 0.8657184684795558 -0.30032026964624775; 0.5407041570606836 0.09360189266233887 -0.32521661731537144; 0.9645157946251539 0.20272838563746723 -0.1723603332194088; -0.7145269545882247 -0.7799127657066416 0.5594374414580552
3,-0.0023448238283004046 -0.0031927138232600073 0.017571929444327974; 0.001647123796190897 0.008833738648093802 0.018509021249182904; -0.003351860228179588 -0.00275068886359886 0.020427366125039783; 0.0024462163441382754 0.003317834967584622 0.009215631363373868; -0.001865613033804051 0.0034188805483054492 0.01845505948261076; 0.0026334619248323003 -0.009691057233136298 0.016054340423146577; -0.004516492242193266 0.0016538579488534198 0.022015434953271712; 0.002460607945589002 -0.003230235732617273 0.009056740512106459; 0.001144518526314724 0.0020375344224643514 0.018439080439655583; 0.0007020547750809138 -0.003349094865313064 0.019721996984193947; 0.000821436696494546 0.006197603227382856 0.011365507818702027; -0.0020333133189217602 -0.006889284807021489 0.028263599685062573; 0.0011452135665648332 -0.002252217739045304 0.018295147129918903; 0.000994823279157166 0.0032704163127895373 0.019241416171151125; 0.000493308505095096 -0.004986224109237364 0.012370354721830096; -0.00177751073336462 0.0064228366585193306 0.027642664976406495; 0.011075505821094317 -0.008619644060595805 0.01785053998576604; -0.12657668050281584 0.021178012277838686 -0.49522022166287605; 0.07810453584971976 -0.006148522337230019 -0.12601996672374016; -0.044542193246897774 -0.00025040945214004073 -0.07544194234646563; 0.01646416698379241 -0.013597399674409396 -0.010512814561703457; -0.016352743473433986 0.025341209563229234 -0.050948993321112634; -0.016543276794710106 -0.020506696491592924 0.01352458978723908; -0.026190200470324686 0.022965213543595864 -0.061809457544228084; -0.010252999530397926 -0.001961444878393965 -0.05336377223221637; 0.015414015322448842 0.002291846290845636 -0.05696800192986691; 0.005643753469605755 0.0013908674883244161 -0.036706189991558696; 0.004243936556489403 -0.0003271465130864973 -0.03138866063592399; 0.029458840537754376 0.030587012515604254 0.018758466797231626; -0.02347757095267426 -0.038048944351853194 -0.06695323621143187; -0.021536472453230333 0.03172967903361584 0.02704172309910702; -0.02688100104310102 -0.022308613199708265 -0.05824044543876909; 0.09551797488413492 0.015501723656802264 0.10345370257463675; -0.19850164156293812 0.017758837524984902 0.09835511526056155; 0.29641195461842684 -0.5572274953197929 -0.10245940889028829; -0.01191536428033805 -0.046973121919062916 -0.01705754446758303; 0.08119806169553108 -0.027071423760382695 0.10041993515562236; -0.11310443565855845 0.02556633530895877 0.04197138616797594; 0.15138082724811494 0.5243568678372535 -0.1474409777753341; -0.0004925058715421551 0.04151652468022471 -0.016048714401479452; -0.004261507290879631 -0.0010747304036517438 0.018026614584491223; -0.00843384336429032 0.008939810991297231 0.03556098472665546; 0.02030111249342514 -0.005804363614828651 -0.013730300850261782; -0.0060398048671939245 -0.01576402264162481 0.02678297374138737; 0.0013154095828249905 0.011859758378057222 0.02491780649641675; -0.016911576534319118 -0.009795657102958133 0.0425842286419991; 0.021240988486977155 -0.00268878783358046 -0.004092028020984587; -0.0033498774254528216 0.019519004520567353 0.034642695873443125; -0.2500581711624078 0.206553498017361 -0.40892053455201405; 2.2038630641541013 0.6911230019916279 1.0145874898526805; 0.24877762244721702 -0.6090341954723766 0.19579065627501452; -2.3954523891543325 -0.729497653738884 -0.17653538822874992; 0.2075075385497277 0.40591728767454405 0.14118519715258432; -0.1656442050362411 0.013792595910656458 -0.23224079786620494
4,0.004686408781801984 -0.0168384084166898 -0.016019174713751194; -0.0003382966273318545 -0.002648456090565271 -0.050161196967645455; 0.016492319742308185 -0.008192205212269238 0.00817300724181097; 0.0005514937897028974 0.032775516684992144 0.00013164801990458996; -0.006011003325529696 0.027656426094993393 0.009299294360610617; -0.0020004828224053067 -0.04056211677531852 0.049764966980097754; -0.0031492193652944084 0.029122442789512547 -0.00046474336338352823; 0.004629340758655769 -0.03009395043382249 -0.04444290337850934; 0.001659514234395635 0.008132822113098926 -0.010731937597972235; 0.008693040738604722 0.023291553176609785 -0.03777049113374537; -0.0028955088052835306 0.0010101948812011596 -0.004081119177900244; 0.0028159868134253196 -0.032147867716422904 0.037953596080317176; -0.0010309795938391194 -0.025522333914804053 -0.029738448484841376; -0.0045146078695607154 0.023009494660731482 -0.0012849973917601412; -0.014687669267186534 -0.021321931309804316 -0.0292737578218899; 0.00789297865909144 0.028569835794863104 0.012456917562826395; 0.24363343312507707 0.1349902731990649 -0.024126843311695824; -0.08452900332582793 0.24236344932330384 -0.2925842998694681; 0.4152125565937552 -0.17112601477054923 -0.7092139851708475; -0.8623099579793273 -0.4232700907550684 -1.8703757488812138; -0.34454602130171064 -0.09280310974470873 -0.3070978577582727; 0.5249269806838496 0.05631332243482116 -0.5554489453331535; 0.22076420767043312 0.20602991757811856 -0.699120970151312; -0.3696846958498236 0.5024141733462077 -0.9628860777755015; -0.10424221998867109 0.017503156676454773 -0.5021464167490199; 0.14201880534021077 -0.049358415673455086 -0.6516817100153928; -0.09083810396465972 -0.13131044299533157 -0.8200294440459687; 0.10387745437570536 -0.07792499866991157 -0.7125190252409959; 0.1320889119947767 -0.04306958443165861 -0.30420596653630744; 0.029351161506042882 -0.13413853613040633 -0.6828699912472883; 0.212813494595942 0.10039399553685036 -0.37897556450741116; -0.3401230977423003 -0.3082045553797801 -0.6809938834167462; 1.1392182593447124 -0.15926491244447002 1.3400045978812858; -0.7468741674715211 0.5053582444083773 -0.003504392316062326; 0.5945591105429109 -0.05061517659683489 1.0183001297248675; -0.9286842302410293 -0.508484380617481 0.17422041651964107; 2.635332140375606 0.42963575641114465 1.773461946297746; -0.16927397012019582 -0.8062762087132261 0.8428699782439092; -2.1562391201488884 0.014365722132313548 0.6609672956223183; 0.020241231081983682 0.4538522661505101 0.11708665829033799; 0.0823762613752752 -0.45356858703495034 0.3052021068319586; -0.0853048040455027 0.3634871725733189 0.819404789959199; -0.21776655861952104 -0.4541868745214942 0.2767834697380952; 0.01081335850977212 -0.3221258994379541 0.7121046654514204; 0.13401163577281472 0.4711528184846601 0.35837806808702255; -0.15837332065365559 -0.21482042883646643 0.5679487395029845; -0.08716093359271379 0.5053769285839513 0.48681145134520665; 0.15053985335522513 0.4148307376510928 0.8374563667101802; 1.002851556966263 -0.15350978681105265 -0.5017885601668806; -0.6249341527798297 0.34769871938239094 1.0431617932547126; -0.08071348513236765 -0.045449487441396985 -0.1385287676937277; -0.20391279382608984 -0.016792088732991997 -0.30770496435807004; -0.08429944303196113 -0.028298608731079422 0.07656421298394557; -0.06761364923631451 -0.11740948172861926 -0.19873393211366353
5,-0.00923578047454957 -0.0034903307460409784 -8.902341567283006e-06; -0.005194196063809652 -0.0027539874466300657 -0.014219929395208697; 0.006625576052480673 -0.008628422219711572 -0.010045948740320474; 0.003648516889711101 0.003074164627645312 0.008560847103188204; -0.0072692905017047475 0.0037961760410168835 0.0032993107816445127; -0.0028475596532810993 0.0026625971335003116 -0.013267133669989394; 0.0034931462006149135 0.0078481571956786 -0.009966308300415491; 0.002369664801851823 -0.0026389018433860658 0.010061463983357583; 0.0022753614003768853 -0.0005857155010134792 0.01850159853264696; -7.785119268477564e-05 0.0030516336192166873 0.008026129671366667; 0.00037137493066725393 0.005440740848898572 0.010405414375030269; -0.0018646022409304823 -0.005040556773429976 0.024068916414232523; 0.0022824834411592316 0.0003506313008703777 0.01866321638267953; -5.520596950016854e-05 -0.004562346595424233 0.006439826398079999; 0.0004398243674675543 -0.007331371189987337 0.007653604347445081; -0.001969211799389167 0.004549179208685188 0.023574127583937326; -0.03412796578406646 -0.01567681160742408 -0.11794488571925356; -0.039966642871860296 0.048166540283528715 -0.45688689537442617; 0.07049014414520839 -0.0065438553648969255 -0.09817491742956316; -0.06085623503755602 0.003377255291130407 -0.10009832689499347; 0.031060589331944586 -0.012516851084854511 -0.018882366834618504; -0.042818592753024194 0.014412717836127562 -0.05052751209450419; 0.03235058905842899 0.020631829322802865 -0.04835551474975163; -0.04228396172807421 0.025875140446410014 -0.06917998082816794; -0.018336740843616004 -0.002371493769965448 -0.06871868145185273; 0.020409575696349182 0.0008644786813127338 -0.07022380918781254; 0.002832907830875246 -0.0035576214416152482 -0.036831566032967424; 0.011357382670339807 0.00038654397487023623 -0.03164944152208387; 0.0692715548460367 0.053809830228151646 0.03899325719036452; -0.05080714208706042 -0.05914919962606879 -0.10015420763652652; 0.02276523831373595 -0.007314950830701453 -0.035879575079473716; -0.04289445710576395 -0.028022696795688612 -0.0721282050639229; -0.01832016542452043 -0.03484611536541745 0.07873783387759573; -2.1922013660311936 -2.6981730085784825 -3.2342504972962955; 0.8571264168335362 -0.5333206909304016 -0.14807785975668358; -0.011315356751977807 -0.04640107853947362 -0.03209571996760117; -0.01808532931013828 0.027914261887917208 0.05939531846464291; -0.9029747374109757 1.5218756454874205 -1.2443272099594278; 0.5526375229085304 0.5756047510688741 -0.19808977725655935; 0.0022777537608404267 0.043352600963066264 -0.028904307214877828; -0.012900814432345312 0.01749858988805385 0.0010202601734667013; -0.025114650962878324 0.012220386838309227 0.022077404158497484; 0.03580143503401465 0.028677333951973975 0.0009529374719265518; 0.0003305944072123917 -0.004740758334485111 0.024629585261212318; -0.010581687199369982 -0.015388899804667764 0.004282180978862654; -0.022097334604771562 -0.06164017919449525 0.002819245097992315; 0.03723652162996608 -0.04471527290871863 0.007419375773426315; 0.0013507840218323535 0.0024779511447095047 0.024026632255784844; -0.8972892834223822 0.5027789481992224 -0.6257688671202852; 1.228846132831243 -0.5361566583958586 3.8265228187482077; -0.9867929551579874 -0.2856914278616325 0.07540042621572958; 1.4610949061491736 1.0203614074241387 0.3252493448242378; 1.3287864187756369 -0.31250906765387276 2.2056642317140853; -0.32925329951382176 0.792708777510813 0.0982130391395112
6,0.0010372622690331314 -0.0015793325244134976 0.023042943260128314; -0.0010656365612659775 0.005082067549250639 0.023474009273974736; -0.0002475630610503762 -0.004435981976323592 0.013344625560989799; -0.0029538419462739273 0.0039219340063512105 0.018400225278204122; 0.0016825919242953072 0.0015706599728218026 0.024416804760897914; -0.000996511580707173 -0.004606312477058597 0.016873734832963474; -0.0007850751690464676 0.004303278714502388 0.01490923795754023; -0.003166436380300876 -0.003939535664793159 0.018226668991355853; 0.0014723459470653056 0.000945600727030373 0.01959883881424147; 0.0005296293358813212 -0.004614175420724141 0.021628455107036385; -0.0008152022795055309 0.0010776363022039774 0.018888245816493437; -0.0002834085081226999 -0.003662494442065473 0.024604025303938484; 0.0016435968866343163 -0.0011467118194711462 0.019460908743847656; 0.0006014823334336117 0.0035932167675758763 0.020184195280044153; -0.0009118834833296515 -0.001371851336849539 0.01871279125828464; -0.00032608769759519745 0.0035457342702108646 0.024479084411185015; 0.02693313821242916 -0.011088200041907009 -0.004026269874916191; -0.09442502984134087 -0.0045941381991483 -0.006479290203214111; 0.04675815552131426 -0.0008750447464948019 -0.08216263289055953; -0.050503559580775355 -0.00037869183332169334 -0.07213739916832437; 0.012149750422537662 -0.004834040822451948 -0.029220716852229513; -0.04001278577299111 -0.0018213444995264089 -0.0285235855583032; 0.028668046989898676 0.021575811147982203 -0.05342862286944996; -0.030941159929548566 0.01723739157245127 -0.05292422426740863; -0.009787263193559118 -0.0028916280816616916 -0.04428688261280296; 0.01600022210530284 -0.002100704662045892 -0.046031984205781036; -0.0015822045968753064 -0.0002158894161293501 -0.028631466896456754; 0.010577063126448152 -0.00041266119568527174 -0.032394322718868725; 0.03574760587445177 0.02735159975912751 -0.0008848468146735074; -0.059274956587745536 0.014001511170200025 -0.015907037969762335; 0.028436203348883048 -0.019472657926551964 -0.05236308031723296; -0.03139807648252798 -0.015713940618440593 -0.05158249151312854; -0.02580036886091932 -0.011714659760257859 0.03860814220151297; -0.07043504905554662 -0.08402415864356916 -0.02803183262877808; 0.09241961259394688 -0.05902546855806398 0.0488016918208987; 0.008733533640764722 -0.026191360318567065 -0.016793257097781483; -0.005333155213663355 0.005719023237419559 0.047717779768774914; -0.008570789439656213 0.057900980950598493 -0.0685033244836956; 0.024229022899500966 0.03641674250356806 0.12480937471113979; 0.007458912729066612 0.027934257850896857 -0.015948459427159604; -5.643870888958984e-05 0.002867317748271782 0.015748071532076757; -0.0031687234533366608 0.02603421174443452 0.03615765540594764; 0.007662211808296188 0.014333744077374944 0.0110439729722337; -3.3731940991259975e-05 -0.014242999294219438 0.028759136627601035; 0.004215000852864056 -0.002366956540957237 0.01826698995481861; -0.005933589239973911 -0.03347178443518825 0.03126916702597221; 0.001902578618218415 -0.009807758909988919 0.015891668834399075; 0.0004299982223835747 0.012888400873298966 0.028116688215641006; 2.2585224834246476 -0.9132605756531318 -0.7332996670004615; 0.19386971028266015 1.3977223146448432 -0.003909787743101412; 1.0795315853366516 -1.9748902869110605 1.1261361261476444; -0.6501391594328746 -0.1810599582667949 0.6552950895925124; -3.520808381984905 0.46934659562346054 -0.3636177680375214; 0.7285443252767086 1.2444412737829884 -0.715777398310687
7,0.0008163885997305323 -0.002049949310306338 0.022366004273374037; -0.00019142621260764722 0.003774969701833409 0.01550497972423881; -0.0013490645515396977 -0.0042713737805544 0.02101894407527811; -0.0009764426757146453 0.00321840459001422 0.015627974521245182; -0.0002568834374068645 0.0024585114032722433 0.019772714856246622; -0.000429478240668464 -0.004335145590663455 0.02119830357950707; -0.00039904227334482096 0.004580497959871007 0.01886402200769666; -0.0010125188321554169 -0.003487715399737418 0.01674471721489094; 0.0015844944832969735 0.0012653676678084835 0.019762348239748442; 0.0002373762054860511 -0.003968136956952308 0.020895050500410392; -0.0011564909179271454 0.0020805992909156586 0.018593839125447847; -0.00012274007690925054 -0.003486542166385874 0.024438841998863297; 0.001087139790402749 -0.001176044858573712 0.019270263322325436; 0.0004101690690402346 0.005477818177913094 0.023902765331006565; -0.000511826452553084 -0.0022420072919879645 0.01790689639756715; -8.822261038884596e-05 0.0037189715468642338 0.024853895222258532; 0.04189283770055318 0.015807928361067834 0.0031538998263326463; -0.11345838794035007 0.014891547659827517 0.03324784131685884; 0.041567008009568106 0.0013899794088144436 -0.07548634454217706; -0.05205839057947813 0.0027008151140465383 -0.06866992837206767; 0.023251757313944275 -0.01676919325687448 -0.018191481495033465; -0.05764261581019953 -0.028720175360839758 0.006808506969730725; 0.02844675310295088 0.019275170693686578 -0.05304806208517844; -0.027929496879196932 0.014330431820695558 -0.04857017464408062; -0.009901978924789678 0.0019838286874881844 -0.046315119801925604; 0.01610705520081459 0.0025456822891859916 -0.04218380525590692; -0.0011182407549556218 0.000679350465259531 -0.02828769472711221; 0.009585044556237952 -0.0010837722440787192 -0.03341766039585389; -0.0026161215004932743 -0.007678450140856281 -0.039756087259189124; -0.02864592924123262 0.0004589173178307267 -0.02591923259563185; 0.02640860151455316 -0.022046032361281047 -0.052681806205175596; -0.027347295527043645 -0.01797166102100762 -0.051010200059679885; 0.026485903041602504 -0.0012596348862567762 0.061150731832991405; 0.10823124874412442 -0.13465495620865475 -0.2557974934615009; -0.07421207131192838 -0.020674070496548635 0.15701455013742088; -0.0021126514162420388 -0.02522377131327319 -0.008641338015884258; -0.06915336791357492 0.012527210860761117 -0.015474422121329785; 0.032109624899280154 0.04257219199698753 -0.23104140422715216; 0.01410356120889512 0.019033712074086072 0.0648841033264957; -0.002017023054445742 0.02370409107950363 -0.01303960508582816; 0.002076883611227461 0.006198132455590009 0.017358848534148742; 0.004266701989073308 0.05894726993878689 0.020951371624502772; -0.004087964016964296 0.00017387956534662812 0.025606691877242203; -0.002006149035177328 -0.01728087363580072 0.033298471677237894; 0.0002506519390404246 -0.002818630665912895 0.01696652928894441; 0.00803664810192549 -0.020691500325857155 0.06872478216965354; -0.008114509019780256 0.005373676117853975 0.04498907377951055; 0.0005961625339102024 0.021867172602708138 0.03717553175898827; -0.1391944448582251 -0.31932454560696877 -0.17825051999575459; -0.6955682306391212 0.9174239678785749 2.2490118102864693; -0.8565344535945049 -0.4296229808217799 -0.5754143185411484; 1.0002483442710655 -1.3618394712307251 -0.942064042919349; -0.26258861543059336 0.5256247677448855 -0.28684188917516446; 1.0550017178427895 0.7185917704603971 -0.07096167381450805
