batch_index,num_tasks,task_indices,base_model_groups,script_path
1,9,1 2 3 4 5 6 7 8 9,dp ; nep ; mtp ; soap ; painn ; schnet ; mace ; dp nep ; dp mtp,conservative_combo_batch_submit_scripts_15/1.sh
2,9,10 11 12 13 14 15 16 17 18,dp soap ; dp painn ; dp schnet ; dp mace ; nep mtp ; nep soap ; nep painn ; nep schnet ; nep mace,conservative_combo_batch_submit_scripts_15/2.sh
3,9,19 20 21 22 23 24 25 26 27,mtp soap ; mtp painn ; mtp schnet ; mtp mace ; soap painn ; soap schnet ; soap mace ; painn schnet ; painn mace,conservative_combo_batch_submit_scripts_15/3.sh
4,9,28 29 30 31 32 33 34 35 36,schnet mace ; dp nep mtp ; dp nep soap ; dp nep painn ; dp nep schnet ; dp nep mace ; dp mtp soap ; dp mtp painn ; dp mtp schnet,conservative_combo_batch_submit_scripts_15/4.sh
5,9,37 38 39 40 41 42 43 44 45,dp mtp mace ; dp soap painn ; dp soap schnet ; dp soap mace ; dp painn schnet ; dp painn mace ; dp schnet mace ; nep mtp soap ; nep mtp painn,conservative_combo_batch_submit_scripts_15/5.sh
6,9,46 47 48 49 50 51 52 53 54,nep mtp schnet ; nep mtp mace ; nep soap painn ; nep soap schnet ; nep soap mace ; nep painn schnet ; nep painn mace ; nep schnet mace ; mtp soap painn,conservative_combo_batch_submit_scripts_15/6.sh
7,9,55 56 57 58 59 60 61 62 63,mtp soap schnet ; mtp soap mace ; mtp painn schnet ; mtp painn mace ; mtp schnet mace ; soap painn schnet ; soap painn mace ; soap schnet mace ; painn schnet mace,conservative_combo_batch_submit_scripts_15/7.sh
8,8,64 65 66 67 68 69 70 71,dp nep mtp soap ; dp nep mtp painn ; dp nep mtp schnet ; dp nep mtp mace ; dp nep soap painn ; dp nep soap schnet ; dp nep soap mace ; dp nep painn schnet,conservative_combo_batch_submit_scripts_15/8.sh
9,8,72 73 74 75 76 77 78 79,dp nep painn mace ; dp nep schnet mace ; dp mtp soap painn ; dp mtp soap schnet ; dp mtp soap mace ; dp mtp painn schnet ; dp mtp painn mace ; dp mtp schnet mace,conservative_combo_batch_submit_scripts_15/9.sh
10,8,80 81 82 83 84 85 86 87,dp soap painn schnet ; dp soap painn mace ; dp soap schnet mace ; dp painn schnet mace ; nep mtp soap painn ; nep mtp soap schnet ; nep mtp soap mace ; nep mtp painn schnet,conservative_combo_batch_submit_scripts_15/10.sh
11,8,88 89 90 91 92 93 94 95,nep mtp painn mace ; nep mtp schnet mace ; nep soap painn schnet ; nep soap painn mace ; nep soap schnet mace ; nep painn schnet mace ; mtp soap painn schnet ; mtp soap painn mace,conservative_combo_batch_submit_scripts_15/11.sh
12,8,96 97 98 99 100 101 102 103,mtp soap schnet mace ; mtp painn schnet mace ; soap painn schnet mace ; dp nep mtp soap painn ; dp nep mtp soap schnet ; dp nep mtp soap mace ; dp nep mtp painn schnet ; dp nep mtp painn mace,conservative_combo_batch_submit_scripts_15/12.sh
13,8,104 105 106 107 108 109 110 111,dp nep mtp schnet mace ; dp nep soap painn schnet ; dp nep soap painn mace ; dp nep soap schnet mace ; dp nep painn schnet mace ; dp mtp soap painn schnet ; dp mtp soap painn mace ; dp mtp soap schnet mace,conservative_combo_batch_submit_scripts_15/13.sh
14,8,112 113 114 115 116 117 118 119,dp mtp painn schnet mace ; dp soap painn schnet mace ; nep mtp soap painn schnet ; nep mtp soap painn mace ; nep mtp soap schnet mace ; nep mtp painn schnet mace ; nep soap painn schnet mace ; mtp soap painn schnet mace,conservative_combo_batch_submit_scripts_15/14.sh
15,8,120 121 122 123 124 125 126 127,dp nep mtp soap painn schnet ; dp nep mtp soap painn mace ; dp nep mtp soap schnet mace ; dp nep mtp painn schnet mace ; dp nep soap painn schnet mace ; dp mtp soap painn schnet mace ; nep mtp soap painn schnet mace ; dp nep mtp soap painn schnet mace,conservative_combo_batch_submit_scripts_15/15.sh
