name,data,num_models,connected,base_models,force_mae,energy_mae,path
40_dp_soap_mace.pth,old_data,3,False,"dp,soap,mace",0.010856570789590477,0.03794055157899857,el-mlffs/checkpoints/meta_models/conservative_combo/40_dp_soap_mace.pth
41_dp_painn_schnet.pth,old_data,3,False,"dp,painn,schnet",0.01102557367272675,0.04419225939363241,el-mlffs/checkpoints/meta_models/conservative_combo/41_dp_painn_schnet.pth
42_dp_painn_mace.pth,old_data,3,False,"dp,painn,mace",0.011688692745752632,0.04918783419206738,el-mlffs/checkpoints/meta_models/conservative_combo/42_dp_painn_mace.pth
80_dp_soap_painn_schnet.pth,old_data,4,False,"dp,soap,painn,schnet",0.011294294469058514,0.04616580093279481,el-mlffs/checkpoints/meta_models/conservative_combo/80_dp_soap_painn_schnet.pth
81_dp_soap_painn_mace.pth,old_data,4,False,"dp,soap,painn,mace",0.01091844691336155,0.04698379387706518,el-mlffs/checkpoints/meta_models/conservative_combo/81_dp_soap_painn_mace.pth
82_dp_soap_schnet_mace.pth,old_data,4,False,"dp,soap,schnet,mace",0.010513373614288866,0.038613432336598634,el-mlffs/checkpoints/meta_models/conservative_combo/82_dp_soap_schnet_mace.pth
83_dp_painn_schnet_mace.pth,old_data,4,False,"dp,painn,schnet,mace",0.011217204527929426,0.0532251307554543,el-mlffs/checkpoints/meta_models/conservative_combo/83_dp_painn_schnet_mace.pth
84_nep_mtp_soap_painn.pth,old_data,4,False,"nep,mtp,soap,painn",0.011244898231700063,0.04037191639468074,el-mlffs/checkpoints/meta_models/conservative_combo/84_nep_mtp_soap_painn.pth
85_nep_mtp_soap_schnet.pth,old_data,4,False,"nep,mtp,soap,schnet",0.011751527370885015,0.05005196997523308,el-mlffs/checkpoints/meta_models/conservative_combo/85_nep_mtp_soap_schnet.pth
88_nep_mtp_painn_mace.pth,old_data,4,False,"nep,mtp,painn,mace",0.011106588345021009,0.04633074844628572,el-mlffs/checkpoints/meta_models/conservative_combo/88_nep_mtp_painn_mace.pth
89_nep_mtp_schnet_mace.pth,old_data,4,False,"nep,mtp,schnet,mace",0.011332697748206557,0.049939512133598325,el-mlffs/checkpoints/meta_models/conservative_combo/89_nep_mtp_schnet_mace.pth
90_nep_soap_painn_schnet.pth,old_data,4,False,"nep,soap,painn,schnet",0.010855330230668188,0.042945067536085846,el-mlffs/checkpoints/meta_models/conservative_combo/90_nep_soap_painn_schnet.pth
91_nep_soap_painn_mace.pth,old_data,4,False,"nep,soap,painn,mace",0.010489338767714799,0.040968687877058985,el-mlffs/checkpoints/meta_models/conservative_combo/91_nep_soap_painn_mace.pth
92_nep_soap_schnet_mace.pth,old_data,4,False,"nep,soap,schnet,mace",0.012111020606942476,0.05176742421090603,el-mlffs/checkpoints/meta_models/conservative_combo/92_nep_soap_schnet_mace.pth
93_nep_painn_schnet_mace.pth,old_data,4,False,"nep,painn,schnet,mace",0.011891219560056924,0.05944766588509083,el-mlffs/checkpoints/meta_models/conservative_combo/93_nep_painn_schnet_mace.pth
96_mtp_soap_schnet_mace.pth,old_data,4,False,"mtp,soap,schnet,mace",0.010607062682509423,0.039552885737270116,el-mlffs/checkpoints/meta_models/conservative_combo/96_mtp_soap_schnet_mace.pth
conservative_meta_4model_no_dp_painn_mace_l2.pth,peptide_dft,4,False,"nep,mtp,soap,schnet",0.13142491318285465,0.3700078590849384,el-mlffs/checkpoints/peptide_dft_wb97x_5k_meta_models/conservative_meta_4model_no_dp_painn_mace_l2.pth
conservative_meta_4model_no_dp_painn_mace_l2_connected.pth,peptide_dft,4,True,"nep,mtp,soap,schnet",0.1286395706511179,0.3548927865617099,el-mlffs/checkpoints/peptide_dft_wb97x_5k_meta_models/conservative_meta_4model_no_dp_painn_mace_l2_connected.pth
conservative_meta_5model_no_dp_painn.pth,peptide_dft,5,False,"nep,mtp,soap,schnet,mace",0.10405130324824179,0.21296247423122652,el-mlffs/checkpoints/peptide_dft_wb97x_5k_meta_models/conservative_meta_5model_no_dp_painn.pth
